id;type;state;problem;detail;severity;entity_name;entity_label;entity_type;fix;at_time
1;worsen simplistic;shudder;down ouch;stealthily;quicker;conduct;supposing;sabotage like;elastic wholly gadzooks;2024-03-12T03:45:15
2;detach;yahoo hypnotize ew;unrealistic fabricate among;tower simple;laptop;aggravating;boo compensation furthermore;merchandise;definite often;2024-03-11T11:57:31
3;clear shocked convertible;inasmuch atop;outside click;even misconceive;subsume wrongly;gracefully beneath;hunch;supposing vapid;siphon;2024-03-11T11:26:51
4;incidentally so after;regularly some allege;so;conventional unexpectedly mine;sequestrate spattering;if second-hand;faraway of regal;how while recovery;though despite;2024-03-12T04:51:32
5;modulo obediently;minimalism;size;hm macro;mmm outdo loiter;terrific before acidly;evolve badly mmm;line;imaginative because painfully;2024-03-11T17:26:03
6;on;between big-hearted;from indeed;weighty competitor;nicely even afore;legitimise sharply counterbalance;mortally;why enraged;outline;2024-03-12T07:52:17
7;um;slow;consequently;yuck;loftily wherever boo;unto;whether under;ugh schoolhouse assuage;wasteful anenst;2024-03-11T20:33:58
8;deficit reclamation;bunker bah irritating;edible yippee deviation;jagged about;modulo across;generously nitrify eek;faithfully fictionalize;yum minty;corny;2024-03-12T08:10:42
9;disloyal;dizzy lovingly which;happily supposing longingly;ha;expose phew chassis;coaxingly;regarding zoot-suit;expectation cluster necklace;even yuck;2024-03-11T12:41:45
10;phooey yahoo;unnaturally;youthfully;quarrelsome;yak runny;copyright;pish;gently burning;meaningfully;2024-03-11T21:07:17
