id;name;version;type;used_by
1;crossly wrapper silk;snub that adverb;polish who absent;unnecessarily solidly oh
2;opposite;as woot scholar;yowza;pertain meh whoa
3;sunflower;willing;kiddingly design concerned;concerning male against
4;grotesque concerning;aggressive;however unnecessarily;through within
5;serpentine drat index;phooey;southeast nor;breath
6;tremble negligible to;translate repeat indeed;gleefully from;snarling worse
7;knobby rude bashfully;prop;underplay;drat grubby although
8;shameless;organizing;witness;technologist mushy calculate
9;tremendously;win inwardly rundown;regarding however;contort jeweller
10;between especially backburn;oof agile aha;unaccountably gee;mammoth boohoo overstep
