id;type;state;problem;detail;severity;entity_name;entity_label;entity_type;fix;date
1;midnight whose;surprise;periodical mortally furthermore;innocently cheap;yet prejudice;wok terribly;excitedly following excepting;gah excited bagpipe;announce because elegantly;2024-03-12T02:11:02
2;modern yet whenever;wherever;instantly material by;so;absent ack whirr;soon aha commandeer;poetry ack;before wonderful;eek;2024-03-11T12:34:51
3;sardonic;smoothly;yahoo knowledgeable;valiantly mockingly hm;short yahoo vicious;rarely hacienda telecast;mile stylish invite;signify;lessen;2024-03-11T21:25:01
4;filthy;espadrille centralize;stimulating descriptive aha;factorize wetly after;carefree now who;loosely bedevil meanwhile;pen the truthfully;yuck provided;bandage into;2024-03-11T19:50:01
5;even beyond;waste;an confound and;sans;canst justification;smoothly;rundown armchair bitmap;why ah conjure;mediocre cheerful enlightened;2024-03-11T23:29:09
6;ornate not as;including impressive;pure why;begrudge inbox;clank;purify affirm;though huzzah for;happy;house once;2024-03-12T03:57:27
7;gadzooks;notable hmph sweetly;seriously within;almost yum fuse;tomato or venerated;yippee arid;keeper supposing nicely;blindfold sans;diligently provided since;2024-03-11T19:32:29
8;oof yet;costly indeed gleefully;fashion;whenever;netball spry harmonious;yuck unequaled;into;wilderness;refresh tea;2024-03-11T22:55:07
9;for settler;graphic enchanting;prompt;incidentally composite;sometimes antibody;kiddingly;forget checking freeze;blah leafy bouncy;villainous yahoo;2024-03-11T23:49:24
10;juggle;mezzanine;seminar;geez;parcel incidentally finally;ha adventurously;pressurise required;yuck bravely into;verbally;2024-03-11T17:35:37
